Poll source,Date,Hillary Clinton Democratic,Donald Trump Republican,Leading by (points),Sample size,Margin of error
UPI/CVoter[58],"October 24–30, 2016",49%,48%,1,1299,±3.0%
NBC News/SurveyMonkey[59],"October 24–30, 2016",51%,44%,7,40816,± 1.0%
ABC News/Washington Post[60],"October 26–29, 2016",49%,47%,2,1165,± 3.0%
IBD/TIPP[61],"October 24–29, 2016",45%,41%,4,1039,± 3.3%
UPI/CVoter[62],"October 23–29, 2016",48%,48%,Tied,1317,± 3.0%
Morning Consult[63],"October 27–28, 2016",46%,41%,5,1794,± 2.0%
ABC News/Washington Post[64],"October 25–28, 2016",46%,45%,1,1160,± 3.0%
IBD/TIPP[65],"October 23–28, 2016",46%,41%,5,1013,± 3.3%
ABC News/Washington Post[66],"October 24–27, 2016",49%,46%,3,1148,± 3.0%
IBD/TIPP[67],"October 22–27, 2016",45%,42%,3,973,± 3.3%
Ipsos/Reuters[68],"October 21–27, 2016",42%,36%,6,1627,± 3.0%
USC/Los Angeles Times[69],"October 21–27, 2016",44%,46%,2,3248,± 4.5%
ABC News/Washington Post[70],"October 23–26, 2016",50%,45%,5,1150,± 3.0%
YouGov/The Economist[71],"October 22–26, 2016",49%,46%,3,1376,± 3.1%
IBD/TIPP[72],"October 21–26, 2016",44%,42%,2,945,± 3.3%
UPI/CVoter[73],"October 20–26, 2016",49%,47%,2,1363,± 3.0%
Fox News[74],"October 22–25, 2016",49%,44%,5,1221,± 2.5%
ABC News/Washington Post[75],"October 22–25, 2016",51%,44%,7,1135,± 3.0%
Pew Research Center[76],"October 20–25, 2016",50%,43%,7,2120,± 2.4%
IBD/TIPP[77],"October 20–25, 2016",43%,41%,2,921,± 3.3%
UPI/CVoter[78],"October 19–25, 2016",49%,47%,2,1349,± 3.0%
USC/Los Angeles Times[79],"October 19–25, 2016",44%,45%,1,3145,± 4.5%
CNBC[80],"October 21–24, 2016",47%,37%,10,804,± 3.5%
ABC News[81],"October 21–24, 2016",51%,43%,8,1119,± 3.0%
Greenberg Quinlan Rosner[82],"October 21–24, 2016",53%,41%,12,900,± 3.27%
Associated Press/GFK[83],"October 20–24, 2016",54%,41%,13,1546,± 2.75%
USA Today/Suffolk University[84],"October 20–24, 2016",49%,39%,10,1000,± 3.0%
Ipsos/Reuters[85],"October 20–24, 2016",43%,37%,6,1170,± 3.3%
IBD/TIPP[86],"October 19–24, 2016",43%,42%,1,873,± 3.6%
ABC News[87],"October 20–23, 2016",53%,41%,12,1155,± 3.0%
CNN/ORC[88],"October 20–23, 2016",51%,45%,6,779,± 3.5%
IBD/TIPP[89],"October 18–23, 2016",42%,42%,Tied,815,± 3.6%
NBC News/SurveyMonkey[90],"October 17–23, 2016",50%,44%,6,32225,± 1.0%
UPI/CVoter[91],"October 17–23, 2016",49%,46%,3,1414,± 3.0%
ABC News[92],"October 20–22, 2016",53%,41%,12,874,± 3.5%
IBD/TIPP[93],"October 17–22, 2016",42%,43%,1,783,± 3.6%
IBD/TIPP[94],"October 16–21, 2016",42%,42%,Tied,791,± 3.6%
Politico/Morning Consult[95],"October 19–20, 2016",46%,40%,6,1395,± 3.0%
American Research Group[96],"October 17–20, 2016",49%,42%,7,1006,± 3.0%
IBD/TIPP[97],"October 15–20, 2016",43%,41%,2,789,± 3.6%
USC/Los Angeles Times[98],"October 14–20, 2016",44%,45%,1,3001,± 4.5%
Ipsos/Reuters[99],"October 14–20, 2016",44%,40%,4,1640,± 3.0%
IBD/TIPP[100],"October 14–19, 2016",43%,41%,2,779,± 3.6%
Quinnipiac University[101],"October 17–18, 2016",50%,44%,6,1007,± 3.1%
YouGov/The Economist[102],"October 15–18, 2016",47%,43%,4,1300,± 4.0%
IBD/TIPP[103],"October 13–18, 2016",44%,41%,3,782,± 3.6%
Fox News[104],"October 15–17, 2016",49%,42%,7,912,± 3.0%
Bloomberg Politics[105],"October 14–17, 2016",50%,41%,9,1006,± 3.1%
Ipsos/Reuters[106],"October 13–17, 2016",43%,39%,4,1190,± 3.2%
Public Religion Research Institute/The Atlantic[107],"October 12–17, 2016",51%,36%,15,692,±4.4%
UPI/CVoter[108],"October 11–17, 2016",51%,46%,5,1326,± 3.0%
Monmouth University[109],"October 14–16, 2016",53%,41%,12,805,± 3.5%
CBS News[110],"October 12–16, 2016",51%,40%,11,1411,± 3.0%
NBC News/SurveyMonkey[111],"October 10–16, 2016",51%,43%,8,24804,± 1.0%
UPI/CVoter[112],"October 10–16, 2016",50%,46%,4,1325,± 3.0%
Politico/Morning Consult[113],"October 13–15, 2016",46%,41%,5,1737,± 2.0%
NBC News/Wall Street Journal[114],"October 10–13, 2016",51%,41%,10,905,±3.3%
ABC News/Washington Post[115],"October 10–13, 2016",50%,46%,4,740,±4.0%
Franklin Pierce University/Boston Herald[116],"October 9–13, 2016",46%,41%,5,1001,±3.1%
George Washington University[117],"October 8–13, 2016",47%,39%,8,1000,± 3.1%
UPI/CVoter[118],"October 7–13, 2016",50%,45%,5,1482,± 3.0%
Fox News[119],"October 10–12, 2016",49%,41%,8,917,± 3.0%
Politico/Morning Consult[120],"October 10, 2016",46%,41%,5,1757,± 3.0%
NBC News/Wall Street Journal[121],"October 8–10, 2016",50%,40%,10,900,± 3.5%
Ipsos/Reuters[122],"October 6–10, 2016",44%,37%,7,2363,± 2.3%
UPI/CVoter[123],"October 4–10, 2016",50%,44%,6,1367,± 3.0%
Pew Research Center[124],"September 27 – October 10, 2016",53%,44%,9,3616,± 2.9%
NBC News/Wall Street Journal[125],"October 8–9, 2016",52%,38%,14,422,± 4.6%
NBC News/SurveyMonkey[126],"October 3–9, 2016",51%,44%,7,23329,± 1.0%
UPI/CVoter[127],"October 3–9, 2016",49%,44%,5,1801,± 3.0%
Politico/Morning Consult[128],"October 8, 2016",45%,41%,4,1390,± 3.0%
YouGov/The Economist[129],"October 7–8, 2016",48%,43%,5,1300,± 4.2%
Morning Consult[130],"October 5–6, 2016",44%,42%,2,1775,± 2.0%
Quinnipiac University[131],"October 5–6, 2016",50%,44%,6,1064,± 3.0%
Fox News[132],"October 3–6, 2016",48%,44%,4,896,± 3.0%
Ipsos/Reuters[133],"September 30 – October 6, 2016",43%,38%,5,1695,± 3.0%
UPI/CVoter[134],"September 30 – October 6, 2016",48%,47%,1,1774,± 3.0%
UPI/CVoter[135],"September 28 – October 4, 2016",47%,48%,1,1274,± 3.0%
USC/Los Angeles Times[136],"September 28 – October 4, 2016",43%,47%,4,2369,± 4.5%
YouGov/The Economist[137],"October 1–3, 2016",48%,43%,5,911,± 3.9%
Ipsos/Reuters[138],"September 29 – October 3, 2016",44%,37%,7,1928,± 2.5%
Politico/Morning Consult[139],"September 30 – October 2, 2016",46%,39%,7,1778,± 2.0%
Farleigh Dickinson/SSRS[140],"September 28 – October 2, 2016",50%,40%,10,788,± 4.4%
CBS News/New York Times[141],"September 28 – October 2, 2016",49%,43%,6,1501,± 3.0%
CNN/ORC[142],"September 28 – October 2, 2016",47%,42%,5,1501,± 2.5%
NBC News/SurveyMonkey[143],"September 26 – October 2, 2016",50%,44%,6,26925,± 1.0%
UPI/CVoter[144],"September 26 – October 2, 2016",47%,49%,2,1285,± 3.0%
USC/Los Angeles Times[145],"September 24–30, 2016",42%,47%,5,2526,± 4.5%
Fox News[146],"September 27–29, 2016",49%,44%,5,911,± 3.0%
Ipsos/Reuters[147],"September 23–29, 2016",43%,38%,5,2501,± 2.0%
UPI/CVoter[148],"September 23–29, 2016",47%,49%,2,1236,± 3.0%
Public Policy Polling[149],"September 27–28, 2016",49%,45%,4,993,± 3.2%
Ipsos/Reuters[150],"September 27–28, 2016",42%,38%,4,1336,± 3.1%
Echelon Insights[151],"September 26–27, 2016",47%,42%,5,1833,±%
Morning Consult[152],"September 26–27, 2016",45%,41%,4,1253,± 3.0%
UPI/CVoter[153],"September 21–27, 2016",48%,48%,Tied,1239,± 3.0%
Ipsos/Reuters[154],"September 22–26, 2016",44%,38%,6,1041,± 3.5%
Quinnipiac University[155],"September 22–25, 2016",47%,46%,1,1115,± 2.9%
Monmouth University[156],"September 22–25, 2016",49%,46%,3,729,± 3.6%
NBC News/SurveyMonkey[157],"September 19–25, 2016",51%,44%,7,13598,± 1.1%
USC/Los Angeles Times[158],"September 19–25, 2016",42%,46%,4,2726,± 4.5%
UPI/CVoter[159],"September 19–25, 2016",48%,47%,1,1052,± 3.0%
Morning Consult[160],"September 22–24, 2016",44%,42%,2,1712,± 2.0%
Bloomberg/Selzer[161],"September 21–24, 2016",46%,46%,Tied,1002,± 3.1%
ABC News/Washington Post[162],"September 19–22, 2016",49%,47%,2,651,± 4.5%
Ipsos/Reuters[163],"September 16–22, 2016",41%,37%,4,1559,± 3.0%
USC/Los Angeles Times[164],"September 15–21, 2016",43%,45%,2,2623,± 2.3%
American Research Group[165],"September 17–20, 2016",47%,44%,3,990,± 3.2%
McClatchy/Marist[166],"September 15–20, 2016",48%,41%,7,758,± 3.6%
USC/Los Angeles Times[167],"September 14–20, 2016",42%,46%,4,2629,± 2.3%
YouGov/Economist[168],"September 18–19, 2016",45%,44%,1,936,± 4.0%
NBC News/Wall Street Journal[169],"September 16–19, 2016",48%,41%,7,922,± 3.23%
Ipsos/Reuters[170],"September 15–19, 2016",39%,39%,Tied,1111,± 3.4%
Associated Press/GFK[171],"September 15–19, 2016",50%,44%,6,1251,± 2.5%
USC/Los Angeles Times[172],"September 13–19, 2016",42%,47%,5,2524,± 2.2%
UPI/CVoter[173],"September 12–18, 2016",48%,47%,1,1203,± 3.0%
NBC News/SurveyMonkey[174],"September 12–18, 2016",50%,45%,5,13230,± 1.2%
UPI/CVoter[175],"September 10–16, 2016",47%,47%,Tied,1246,± 3.0%
UPI/CVoter[176],"September 9–15, 2016",47%,48%,1,1229,± 3.0%
Ipsos/Reuters[177],"September 9–15, 2016",42%,38%,4,1579,± 3.0%
USC/Los Angeles Times[178],"September 9–15, 2016",41%,47%,6,2497,± 2.8%
Fox News[179],"September 11–14, 2016",45%,46%,1,867,± 3.0%
UPI/CVoter[180],"September 8–14, 2016",47%,48%,1,1265,± 3.0%
USC/Los Angeles Times[181],"September 8–14, 2016",41%,47%,6,2499,± 3.1%
YouGov/Economist[182],"September 10–13, 2016",46%,44%,2,1087,± 4.0%
CBS News/New York Times[183],"September 9–13, 2016",46%,44%,2,1433,± 3%
Quinnipiac University[184],"September 8–13, 2016",48%,43%,5,960,± 3.2%
UPI/CVoter[185],"September 7–13, 2016",47%,48%,1,1245,± 3.0%
USC/Los Angeles Times[186],"September 7–13, 2016",42%,47%,5,2550,± 2.7%
Ipsos/Reuters[187],"September 8–12, 2016",40%,39%,1,1127,± 3.3%
UPI/CVoter[188],"September 6–12, 2016",46%,49%,3,1232,± 3.0%
Pew Research[189],"August 16 – September 12, 2016",52%,44%,8,3941,± 2.6%
NBC News/SurveyMonkey[190],"September 5–11, 2016",48%,44%,4,16220,± 1.1%
UPI/CVoter[191],"September 5–11, 2016",46%,49%,3,1260,± 3.0%
Morning Consult[192],"September 6–8, 2016",44%,43%,1,1710,± 2.0%
ABC News/Washington Post[193],"September 5–8, 2016",51%,43%,8,642,± 4.5%
USC/Los Angeles Times[194],"September 2–8, 2016",45%,44%,1,2653,± 2.4%
UPI/CVoter[195],"September 2–8, 2016",46%,48%,2,1256,± 3.0%
UPI/CVoter[196],"September 1–7, 2016",47%,48%,1,1226,± 3.0%
YouGov/Economist[197],"September 4–6, 2016",44%,42%,2,1077,± 4.7%
UPI/CVoter[198],"August 31 – September 6, 2016",47%,47%,Tied,1262,± 3.0%
Ipsos/Reuters[199],"September 1–5, 2016",40%,38%,2,1084,± 3.5%
UPI/CVoter[200],"August 30 – September 5, 2016",48%,46%,2,1220,± 3.0%
CNN/ORC[201],"September 1–4, 2016",48%,49%,1,786,± 3.5%
NBC News/SurveyMonkey[202],"August 29 – September 4, 2016",48%,42%,6,32226,± 1.0%
UPI/CVoter[203],"August 29 – September 4, 2016",49%,47%,2,1237,± 3.0%
UPI/CVoter[204],"August 28 – September 3, 2016",49%,46%,3,1242,± 3.0%
Morning Consult[205],"September 1–2, 2016",42%,40%,2,2001,± 2%
Ipsos/Reuters[206],"August 26 – September 1, 2016",39%,40%,1,1804,± 3.0%
IBD/TIPP[207],"August 26 – September 1, 2016",44%,43%,1,861,± 3.4%
Fox News[208],"August 28–30, 2016",48%,42%,6,1011,± 3.0%
UPI/CVoter[209],"August 24–30, 2016",49%,46%,3,1162,± 3.0%
Ipsos/Reuters[210],"August 25–29, 2016",40%,39%,1,1404,± 3.0%
Suffolk University/USA Today[211],"August 24–29, 2016",48%,41%,7,1000,± 3.0%
UPI/CVoter[212],"August 23–29, 2016",50%,47%,3,1173,± 3.0%
USC/Los Angeles Times[213],"August 23–29, 2016",42%,45%,3,2500,± 2.5%
Public Policy Polling[214],"August 26–28, 2016",48%,43%,5,881,± 3.3%
Monmouth University[215],"August 25–28, 2016",49%,42%,7,689,± 3.5%
NBC News/SurveyMonkey[216],"August 22–28, 2016",48%,42%,6,24104,± 1.0%
UPI/CVoter[217],"August 22–28, 2016",50%,47%,3,1145,± 3.0%
UPI/CVoter[218],"August 21–27, 2016",50%,47%,3,1682,± 3.0%
Morning Consult[219],"August 24–26, 2016",43%,40%,3,2007,± 2%
Ipsos/Reuters[220],"August 22–25, 2016",41%,36%,5,1154,± 3%
Ipsos/Reuters[221],"August 20–24, 2016",42%,35%,7,1049,± 2.9%
UPI/CVoter[222],"August 18–24, 2016",48%,49%,1,1720,± 3.0%
Quinnipiac University[223],"August 18–24, 2016",51%,41%,10,1496,± 2.5%
USC/Los Angeles Times[224],"August 18–24, 2016",44%,44%,Tied,2434,± 2.3%
YouGov/Economist[225],"August 19–23, 2016",47%,44%,3,1080,± 4.1%
UPI/CVoter[226],"August 17–23, 2016",48%,48%,Tied,1737,± 3.0%
Ipsos/Reuters[227],"August 18–22, 2016",45%,33%,12,1115,± 3%
UPI/CVoter[228],"August 16–22, 2016",48%,48%,Tied,1752,± 3.0%
UPI/CVoter[229],"August 15–21, 2016",48%,47%,1,1795,± 3.0%
NBC News/SurveyMonkey[230],"August 15–21, 2016",50%,42%,8,17451,± 1.1%
American Research Group[231],"August 17–20, 2016",47%,42%,5,994,± 3.2%
Morning Consult[232],"August 16–20, 2016",44%,38%,6,2001,± 2%
UPI/CVoter[233],"August 14–20, 2016",48%,47%,1,1191,± 3.0%
USC/Los Angeles Times[234],"August 14–20, 2016",43%,45%,2,2385,± 2.8%
Ipsos/Reuters[235],"August 13–17, 2016",41%,36%,5,1049,± 2.8%
UPI/CVoter[236],"August 11–17, 2016",50%,46%,4,1009,± 3.0%
UPI/CVoter[237],"August 9–16, 2016",51%,44%,7,1069,± 3.0%
Ipsos/Reuters[238],"August 11–15, 2016",41%,35%,6,1132,± 3%
"Normington, Petts & Associates[239]","August 9–15, 2016",50%,40%,10,1000,± 3.1%
UPI/CVoter[240],"August 9–15, 2016",51%,44%,7,1035,± 3.0%
Morning Consult[241],"August 11–14, 2016",44%,37%,7,2001,± 2%
NBC News/SurveyMonkey[242],"August 8–14, 2016",50%,41%,9,15179,± 1.2%
UPI/CVoter[243],"August 7–14, 2016",50%,45%,5,975,± 3.0%
UPI/CVoter[244],"August 7–13, 2016",49%,46%,3,1403,± 3.0%
UPI/CVoter[245],"August 3–10, 2016",49%,45%,4,1077,± 3.0%
Ipsos/Reuters[246],"August 6–10, 2016",42%,36%,6,974,± 2.9%
YouGov/Economist[247],"August 6–9, 2016",48%,41%,7,1300,± 4.2%
UPI/CVoter[248],"August 3–9, 2016",48%,46%,2,1002,± 3.0%
Bloomberg Politics[249],"August 5–8, 2016",50%,44%,6,749,± 3.6%
Ipsos/Reuters[250],"August 4–8, 2016",42%,35%,7,1152,± 3.0%
UPI/CVoter[251],"August 2–8, 2016",49%,45%,4,993,± 3.0%
PSRAI[252],"August 4–7, 2016",45%,39%,6,798,± 3.9%
UPI/CVoter[253],"August 1–7, 2016",49%,44%,5,1407,± 3.0%
NBC News/SurveyMonkey[254],"August 1–7, 2016",51%,41%,10,11480,± 1.2%
UPI/CVoter[255],"July 31 – August 6, 2016",50%,43%,7,1036,± 3.0%
USC/Los Angeles Times[256],"July 31 – August 6, 2016",45%,44%,1,2146,± 2.8%
Morning Consult[257],"August 4–5, 2016",46%,37%,9,2001,± 2%
ABC News/Washington Post[258],"August 1–4, 2016",51%,44%,7,1002,± 3.5%
Ipsos/Reuters[259],"July 31 – August 4, 2016",42%,39%,3,1154,± 3.0%
UPI/CVoter[260],"July 29 – August 4, 2016",50%,44%,6,1060,± 3.0%
IBD/TIPP[261],"July 29 – August 4, 2016",46%,39%,7,921,± 3.4%
McClatchy/Marist[262],"August 1–3, 2016",48%,33%,15,983,± 3.1%
NBC News/Wall Street Journal[263],"July 31 – August 3, 2016",47%,38%,9,800,± 3.46%
Ipsos/Reuters[264],"July 30 – August 3, 2016",43%,39%,4,1072,± 3.5%
USC/Los Angeles Times[265],"July 28 – August 3, 2016",45%,44%,1,2175,± 2.4%
UPI/CVoter[266],"July 27 – August 2, 2016",49%,46%,3,989,± 3.0%
Fox News[267],"July 31 – August 2, 2016",49%,39%,10,1022,± 3%
USC/Los Angeles Times[268],"July 27 – August 2, 2016",44%,45%,1,2186,± 2.2%
YouGov/Economist[269],"July 31 – August 1, 2016",46%,43%,3,1300,± 4%
Ipsos/Reuters[270],"July 28 – August 1, 2016",43%,35%,8,1289,± 3%
USC/Los Angeles Times[271],"July 26 – August 1, 2016",43%,45%,2,2171,± 2.5%
CNN/ORC[272],"July 29–31, 2016",52%,43%,9,1003,± 3%
CBS News[273],"July 29–31, 2016",47%,41%,6,1131,± 3%
NBC News/SurveyMonkey[274],"July 25–31, 2016",50%,42%,8,12742,± 1.2%
Morning Consult[275],"July 29–30, 2016",43%,40%,3,1931,± 2%
Public Policy Polling[276],"July 29–30, 2016",50%,45%,5,1276,± 2.7%
